"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29275","Full Name - Valid Input (only letters and spaces)","","Thu Jun 05 01:27:26 GMT+08:00 2025","passed","Thu Jun 05 01:27:55 GMT+08:00 2025","","Edit Profile","",""
"","42362","Test #2 [g_fileToUpload] should reject value: ""guardian.txt""","Add Student 2 - Test Guardian Details Only","Thu Jun 05 04:52:42 GMT+08:00 2025","passed","Thu Jun 05 04:53:24 GMT+08:00 2025","","Field: g_fileToUpload","",""
"","37127","Test #2 [index_number] should reject value: ""ABC""","Add Student 1 - Test Student Details Only","Thu Jun 05 03:52:48 GMT+08:00 2025","failed","Thu Jun 05 03:53:26 GMT+08:00 2025","","Field: index_number","",""
"","42847","Color - Invalid Color (Wrong name)","","Wed Jun 11 19:11:17 GMT+08:00 2025","failed","Wed Jun 11 19:11:59 GMT+08:00 2025","","Add Event - Valid and Invalid Data","",""
"","15086","Grade - Invalid Input (Number)","","Wed Jun 04 17:11:38 GMT+08:00 2025","failed","Wed Jun 04 17:11:54 GMT+08:00 2025","","Add Grade","",""
"","53835","Test #1 [index_number] should accept value: ""<dynamic>""","Add Student 1 - Test Student Details Only","Thu Jun 05 03:51:54 GMT+08:00 2025","passed","Thu Jun 05 03:52:48 GMT+08:00 2025","","Field: index_number","",""
"","15071","Range - Invalid Input (Alphabetic)","","Wed Jun 04 17:10:41 GMT+08:00 2025","failed","Wed Jun 04 17:10:56 GMT+08:00 2025","","Add Grade","",""
"","11917","Grade name - Invalid Input (Numbers)","","Wed Jun 04 17:07:59 GMT+08:00 2025","failed","Wed Jun 04 17:08:11 GMT+08:00 2025","","Add Grade","",""
"","8308","Admission Fee - Valid Input","","Wed Jun 04 17:08:41 GMT+08:00 2025","passed","Wed Jun 04 17:08:49 GMT+08:00 2025","","Add Grade","",""
"","39568","Test #2 [fileToUpload] should reject value: ""student.txt""","Add Student 1 - Test Student Details Only","Thu Jun 05 04:10:27 GMT+08:00 2025","passed","Thu Jun 05 04:11:06 GMT+08:00 2025","","Field: fileToUpload","",""
"","15441","Hall Charge - Invalid Input (Letters)","","Wed Jun 04 17:09:51 GMT+08:00 2025","failed","Wed Jun 04 17:10:06 GMT+08:00 2025","","Add Grade","",""
"","50431","Test #2 [email] should reject value: ""johngmail.com""","Add Student 1 - Test Student Details Only","Thu Jun 05 03:59:57 GMT+08:00 2025","passed","Thu Jun 05 04:00:47 GMT+08:00 2025","","Field: email","",""
"","14823","Email - Valid Input","","Wed Jun 04 17:03:20 GMT+08:00 2025","passed","Wed Jun 04 17:03:35 GMT+08:00 2025","","Login Application - Equivalence Partitioning","",""
"","14718","SM07_04_01 - Invalid amount (negative), valid description","","Wed Jun 11 18:54:19 GMT+08:00 2025","failed","Wed Jun 11 18:54:34 GMT+08:00 2025","","Add Petty Cash – Valid & Invalid Test Cases","",""
"","65530","Test #3 [phone] should reject value: ""@#^&*$%""","Add Student 1 - Test Student Details Only","Thu Jun 05 04:06:04 GMT+08:00 2025","passed","Thu Jun 05 04:07:10 GMT+08:00 2025","","Field: phone","",""
"","61371","Test #2 [address] should reject value: ""abc""","Add Student 1 - Test Student Details Only","Thu Jun 05 03:57:40 GMT+08:00 2025","failed","Thu Jun 05 03:58:42 GMT+08:00 2025","","Field: address","",""
